text,labels,id,created_at
ATHX doesn't like 1.35 but I do staying long for a wk or two,1,,
Marijuana stocks smoking MJNS CBIS HEMP the new trend. Next hot sector Biofuels PEIX SYNM BIOF money in focus,1,,
HPQ in the 16.50 calls for .04!,1,,
The reductions will be concluded by autumn 2010 .,0,,
"RT @TicTocTick: You have these factors leading to $SPX 2200 before Movember: 

1. $GLD #GOLD new ATH
2. Coronavirus 100 K case every day
3.…",,745996.0,2020-07-02 20:17:56+00:00
"Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur .",1,,
"“We have a once-in-a-century shot at building forward better: a world that is fairer and more equitable; greener and more sustainable; smarter and, above all, more resilient.”

#ClimateChange #Equality #ElectricVehicle #NYSE #stocks #COVID19 $NIO $TSLA #EV https://t.co/1Qu5oiVPe1",,934227.0,2020-07-16 12:12:55+00:00
Paper maker Stora Enso Oyj said Friday it has been acquitted of charges that it participated in a paper price-fixing conspiracy in the United States .,1,,
"Virus Crisis A Chance For India To Reform Its Economy, Say Some Experts
https://t.co/hFXZUG1INt",1,,
AAP really looked like a B trap fri- to open.. Trade Strong,1,,
"RT @SystematiCK_: Weekly update: Market data last 4 weeks of #NYSE #NASDAQ #AMEX:

1) IBD market outlook
2) % new high/low
3) % above/below…",,23848.0,2020-04-11 14:27:22+00:00
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .",1,,
New England Professional Planning Group Acquires 424 Shares of Merck &amp; $MRK https://t.co/EW5tyKnUGg,,366534.0,2020-05-31 18:27:39+00:00
"The product advisory does not apply to any other Nokia-branded battery , the company said .",0,,
The company will release its 2010 results on 11 February 2011 .,0,,
"Where can I find live time and sales data for equity options, cheaply or free for doing research on #stocks like $BABA and $M   for example  ? https://t.co/WZTx4Zxyat
  #investing #earnings  #volatility",,670468.0,2020-06-26 17:01:08+00:00
Aspo serves demanding business-to-business customers .,0,,
"NQ_F Whatever GOOG arry page's illness is,it has to be neurological.There's no such thing as monotone voice laryngitis. I asked Dr drew",-1,,
"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .",1,,
SK - 2 Stocks to Watch ight Now  SK FB,1,,
"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",0,,
"RT @bootsiejones: Plan
June 19
$ES_F $SPX $SPY

As we are above balance, longs into ~$3111 mark for a possible bounce trade - watching pric…",,586621.0,2020-06-19 12:37:32+00:00
Production is scheduled to start by the end of April 2007 .,0,,
"RT @TriggerTrades: Notes, Levels &amp; Trends 📊

$SPY $SPX #ES_F

-50 points from my short zone 🎯 but held &amp; exploded off 2996  🔑 

Bulls 📈 nee…",,367662.0,2020-05-31 14:22:30+00:00
"emember how ZAGG sued a bunch of critics for eg defamation? Theyve gone further now, responses to discovery are a total joke.Short it to 0",-1,,
"RT @simonstradeinc: Tomorrow's #watchlist for #NYSE, #NASDAQ: $A, $AA, $AAPL, $ABB, $ABC, $ABIO, $ABMD, $ABR, $ABT, $ACB, $ACHC, $ACN, $ACW…",,359366.0,2020-05-29 00:48:44+00:00
"Gatekeeper (@GatekeeperGSI) (#TSXV: $GSI | #OTC: $GKPRF) Provides Update on $6.3M Contract Previously Announced [https://t.co/lhqX3v0ypi]

#investing #stocks #stockmarket #trading #investors #news #business #investments #tech #technology #business #defense #military https://t.co/w4pO61nTGx",,831212.0,2020-07-09 13:54:11+00:00
Finnish industrial group Ruukki Group Plc OMX Helsinki : RUG1V said on Friday 14 November that its furniture business segment Incap Furniture has concluded personnel negotiations that were started at the end of September .,0,,
user: GOOG Eric Schmidt to sell roughly 42 percent of stake  ,-1,,
"Green Weekly Triangle on AMPE,....pdating  ",-1,,
"$VRSN
Signal: ** BUY **
Since: 2020-04-06 
Our performance: % 0.11
https://t.co/zxKbOrY7wQ
#trading
#stocks
#stockstowatch
#stockstotrade
$SPX https://t.co/stUcSXL7C2",,41616.0,2020-04-13 12:40:10+00:00
"Under the terms of the off-take agreement with Talvivaara , Cameco will provide an up-front investment , to a maximum of $ 60 million , to cover the construction cost of the uranium extraction circuit .",1,,
"This week almost chopped me out I will admit.
.
Pro tip: when the market is chopping it is all about survival not profits.  Please know that just not losing money is winning many times.
.
#Trader #stocks #stockmarket #binaryoptions #daytrader #daytrading https://t.co/owXnEBLrHr",,169565.0,2020-04-23 18:22:04+00:00
ZNGA broke out of a consolidation range to the upside. I don't see anything until the 3-3.06 area  ,1,,
AAP > the 497 area will likely fail.,-1,,
GMX just .20 cents until target.,-1,,
Stag Industrial Sees Unusually High Options Volume $STAG https://t.co/DeCA4eDGXy #stocks,,545603.0,2020-06-16 10:38:41+00:00
Let’s go Power Hour 👀 $SPY $SPX $ES,,338434.0,2020-05-28 18:31:10+00:00
"EGOV long 16.62 strong above all MA's, resting/basing, room to upper bolly to absorb 10/20 day atr  ",1,,
AAP 500 lot bid in the  Feb 440P at 3.00 could create resistance or a temporary sell off,-1,,
user: Is GOOG ripe for shorting yet?  looking for that 10%-15% drop? it happens in a second with the goog (low Vol),1,,
AAP  100 week support   ,-1,,
RT @EdwardGofsky: $UGLD Gold 3x Bull ETF. Breaking out of the bullish {Triangle}. $192 triggered long. Stop@$179. What a close on a Friday!…,,596855.0,2020-06-20 02:36:02+00:00
RT @jasonzweigwsj: Heard on the Street: Countries without lockdowns are in a state of economic free fall too https://t.co/Aram6sjZU1 via @Wâ€¦,-1,,
- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million .,0,,
"Lead production , in turn , should increase to 60,000 tonnes through 2009 in what would be a twofold increase from current capacity levels , Zahariev said .",1,,
COMPQ SPX IND BAC C Futures traded with rises pending macro data   ,1,,
"Retweet if your riding $MVIS
Let’s ride together 🚀🚀
Look forward to Microvision + Microsoft $MSFT potential merger/partnership 🤑🤑🤑🤑
$MVIS 

Low: .89
High: 2.75+

Look to buy the early dip! https://t.co/KGVfrCXd5R",,288098.0,2020-05-05 04:36:02+00:00
"WEEKLY PREVIEW: As uncertainty returned in the markets last week, #stocks on #WallSt tumbled as investors felt the jitters again. See how the major markets are moving in this technical analysis: https://t.co/yHszdCm9l0
#Trading $USDJPY $SPX #WTI $GBPUSD
Losses may exceed deposits",,534369.0,2020-06-15 02:35:02+00:00
Finnish property investment company Citycon plans to issue directed subordinated convertible bonds to institutional investors .,0,,
Raisio is the site of the main production plants as well as company headquarters .,0,,
"RT @ChrisDungeon: ""Innovation has nothing to do with how many R&amp;D dollars you have. When $AAPL came up with the Mac, IBM was spending at le…",,780457.0,2020-07-06 17:57:25+00:00
